feature_name,feature_description,reasoning,classification
Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.","The feature explicitly cites compliance with the Utah Social Media Regulation Act, which mandates age verification and parental control mechanisms. The use of ASL to detect minors, GH for geographic enforcement, and EchoTrace for auditability aligns with legal provisions such as restricted hours for minors and parental access requirements. Jurisdictional alignment with Utah is confirmed, and credible legal evidence (SB0152) supports these requirements.",LegalRequirement
PF default toggle with NR enforcement for California teens,"As part of compliance with California's SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.","The feature explicitly mentions compliance with California's SB976, which imposes restrictions on addictive social media features for minors. The disabling of PF (Personalized feed) aligns with the legal requirement to obtain parental consent before exposing children to such features. Geographic restrictions and parental opt-in mechanisms directly correspond to the law's provisions.",LegalRequirement
Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.","The feature explicitly aligns with US federal law (18 U.S. Code § 2258A) requiring providers to report child sexual abuse content to NCMEC. The functionality, including real-time scanning, flagging, auto-generating reports, and secure routing, directly corresponds to statutory obligations. Jurisdictional alignment is confirmed as the feature operates within the USA, matching legal requirements.",LegalRequirement
Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16's removal mechanisms.","The feature explicitly references compliance with Article 16 of the EU Digital Services Act (DSA), which mandates removal mechanisms for flagged content. Geographic enforcement restricted to the EU aligns with DSA jurisdiction. Traceability and legal review processes further support accountability as required by the regulation.",LegalRequirement
Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.","The feature explicitly supports Florida's Online Protections for Minors law, with mechanisms like parental notifications and compliance visibility directly tied to legal requirements. Graph RAG evidence aligns with Florida's statutes on restricting minors' access to harmful content.",LegalRequirement
Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.","The feature describes a data retention mechanism with automated log deletion and compliance auditing. However, no legal evidence or jurisdictional context is provided to confirm it as a LegalRequirement. Similarly, while the feature could be BusinessDriven, there is no explicit business motivation cited. The absence of legal citations and unclear intent necessitates human review.",LegalRequirement
NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.","The feature mentions the detection and tagging of content violating an 'NSP policy,' but there is no legal evidence or jurisdictional context provided. The absence of credible legal provisions, coupled with the lack of clarity on whether this policy is legally mandated or business-driven, results in insufficient information to classify it definitively.",LegalRequirement
T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.","The feature describes a system for tagging and escalating high-risk content, enforced universally without regional toggles. However, no legal evidence was found to confirm it as a LegalRequirement. Similarly, there is insufficient clarity on whether this is driven by business motivations, as no explicit business strategy or experimentation context is provided. The lack of jurisdictional alignment or credible legal provisions further complicates classification.",LegalRequirement
Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.","The feature description mentions age-sensitive logic and compliance-related systems, but no legal evidence or jurisdiction-specific requirements were found to support classification as a LegalRequirement. Similarly, there is no clear business motivation or experimentation context to classify it as BusinessDriven. The intent remains ambiguous without further clarification.",LegalRequirement
Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.","The feature disables PF (Personalized feed) for guest mode by default. No legal evidence or jurisdictional requirements were found to suggest this is legally mandated. The decision appears driven by product strategy, such as enhancing user privacy perception or simplifying guest mode functionality.",BusinessDriven
